country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","26-11-2025 13:00:00",23.002657,72.591912,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","26-11-2025 13:00:00",23.020509,72.579261,PM2.5,191,317,258
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","26-11-2025 13:00:00",23.041137,72.456691,PM2.5,4,468,131
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","26-11-2025 13:00:00",20.362421,72.918013,NO2,8,35,20
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","26-11-2025 13:00:00",20.362421,72.918013,SO2,15,31,28
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","26-11-2025 13:00:00",20.362421,72.918013,OZONE,4,32,10
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","26-11-2025 13:00:00",22.969611,72.643500,OZONE,33,95,51
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","26-11-2025 13:00:00",28.699793,77.165453,OZONE,6,111,28
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","26-11-2025 13:00:00",34.066206,74.819820,CO,10,22,15
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","26-11-2025 13:00:00",23.80569,86.44268,NO2,86,105,90
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","26-11-2025 13:00:00",23.80569,86.44268,CO,3,30,13
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","26-11-2025 13:00:00",23.80569,86.44268,OZONE,1,29,13
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","26-11-2025 13:00:00",23.707909,86.414670,SO2,NA,NA,NA
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","26-11-2025 13:00:00",16.172806,75.659694,NO2,11,12,12
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","26-11-2025 13:00:00",16.172806,75.659694,OZONE,12,16,16
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","26-11-2025 13:00:00",15.888653,74.541751,NH3,8,10,9
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","26-11-2025 13:00:00",15.888653,74.541751,SO2,22,24,23
